空中衝突に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。,誤 誤,誤 正,正 誤,正 正,,3,201607,空中航法,16,(a)両機が直線飛行を行っており、相手機が衝突コース上にあるときは、自機の針路を 変えるだけで衝突を回避することができる。(b)相手機が衝突コース上にあるときは、相手機を発見しやすい。,
飛行中の過呼吸について誤りはどれか。,過呼吸は飛行中緊迫した状況に遭遇したとき、無意識に起きる心身の状態の一つである。,過呼吸は体内から必要以上に炭酸ガスを排出してしまうため、パイロットは頭がふらふらしたり、息苦しくなったり、眠くなったり、激しい耳鳴りや悪寒の症状を起こす。,過呼吸の兆候が現れたら、呼吸の速さと深さを自分で意識的に調節してゆけば通常は2~3分で治まる。,過呼吸と低酸素症とは初期の兆候がよく似ているが両者は同時に発出することはない。,,4,201607,空中航法,17,,
視覚と明暗に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201607,空中航法,18,(a)暗闇では視覚は明るさに対して鋭敏となる。これを暗順応性という。 (b)暗順応を得るためには真暗闇の中では少なくとも30分を要する。,
スキューバダイビング後の潜函病(減圧病)に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤 誤,誤 誤 正,誤 正 正,正 正 正,,2,201607,空中航法,19,,
TEM(スレット・アンド・エラー・マネージメント)に関する次の文(a)、(b) について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から 選べ。,誤 誤,誤 正,正 誤,正 正,,3,201607,空中航法,20,(a)スレットとは、乗員が関与しないところで発生し、運航をさらに複雑にし、 安全マージンを維持するために、乗員に注意や対処を要求するもの。 (b)スレットには機器の故障、複雑な地形などがあるが、悪天候は含まれない。,
管制方式基準で定める航空交通業務の定義で正しいものはどれか。  ,飛行援助業務,飛行情報業務,管制通信業務,捜索救難業務,,2,201703,航空通信,1,,
航空法施行規則第209条(位置通報)に定める通報しなければならない事項のうち誤りはどれか。,当該航空機の登録記号又は無線呼出符号,予報されない特殊な気象状態,当該地点における時刻及び速度,その他航空機の航行の安全に影響のある事項,,3,201703,航空通信,2,,
ATMセンターが行う民間訓練試験空域の管理方式で正しいものはどれか。,1空域に同時に入域できる訓練、試験等を行う航空機の数は原則として2機までである。,1機による1空域の使用時間は原則として連続する2時間を超えないものとする。,"高度分離された空域を同一時間帯に異なる訓練機が使用する場合は、それぞれの訓練機の使用高度帯を1,000ft以上分離する。",当日提出される訓練計画の受付は原則として出発予定時間の2時間前までとする。,,2,201703,航空通信,3,,
管制機関から迅速な行動を要求される場合に使われる用語で誤りはどれか。,IMMEDIATE,IMMEDIATELY,EXPEDITE,FASTMOVE,,4,201703,航空通信,4,,
フライトプランの記入要領で誤りはどれか。,義務無線機器が完備して搭載されている場合「N」と記入した。,出発飛行場にICAO4文字地点略号の指定がないため出発飛行場に「ZZZZ」と記入し第18項に飛行場名を記入した。,機上DME装置を搭載しているので使用する無線設備に「D」と記入した。,"当該フライトの最大離陸重量が7,000kgなので後方乱気流区分に「L」と記入した。",,1,201703,航空通信,5,,
管制圏内における特別有視界飛行方式について誤りはどれか。,空港等が有視界気象状態であっても、飛行中、有視界気象状態が維持できない場合で特別有視界飛行方式の基準を満たすときは操縦者からの要求により許可が発出される。,雲から離れて飛行しなければならない。,"飛行視程1,000m以上を維持して飛行しなければならない。",地表または水面を引き続き視認できる状態で飛行しなければならない。,,3,201703,航空通信,6,,
福岡FIR内(QNH適用区域)を飛行する航空機における高度計規正方式について誤りはどれか。,出発地のQNHが入手できない場合は29.92inHgをセットする。,離陸前にタワー等からQNHを入手した場合は当該QNHをセットする。,"平均海面上14,000ft未満は最寄りの飛行経路上の地点のQNHをセットする。","平均海面上14,000ft以上はQNEをセットする。",,1,201703,航空通信,7,,
要撃を受けた際の対応について誤りはどれか。,要撃機の視覚信号を理解し応答することによって要撃機の指示に従う。,トランスポンダーを7500にセットする。,可能ならば、適切な航空交通業務機関に通報する。,緊急周波数121.5MHzにより呼び出しを行う。,,2,201703,航空通信,8,,
MH 040°でMC 030°を飛行中「TRAFFIC ONE O'CLOCK」との情報を管制機関より受けた場合、当該航空機は自機の機首方位からどの方向に見えるか。,右20°前方,右40°前方,正面,左10°前方,,1,201703,航空通信,9,,
航空情報サーキュラー(AIC)の説明で誤りはどれか。,情報の性質又は時期的な理由から航空路誌への掲載又はノータムの発行に適さない航空情報が記載される。,法律、規則、方式又は施設に関する大幅な変更についての長期的予報が記載される。,直ちに周知しなければならない重要なAICはチェックリストに赤線が付される。,チェックリストは年1回発行される。,,3,201703,航空通信,10,,
航空機局の無線電話呼出符号(コールサイン)について誤りはどれか。,通信を設定するときは完全なコールサインを使用しなければならない。,航空機局が通信設定時に使用したコールサインが完全なコールサインと異なっていた場合でも、管制機関等は航空機局が使用したコールサインによって応答する。,通信が設定されたのち混乱の生ずるおそれがない場合、管制機関は航空機局のコールサインを簡略化することができる。,航空機局は管制機関からコールサインを簡略化された場合でも、完全なコールサインを使用して応答しなければならない。,,4,201703,航空通信,11,,
送信要領について誤りはどれか。,通信の設定(呼び出し及び応答)に引き続いて交信が行われる場合で、混同のおそれがないときは相手局(管制機関等)の呼出符号の送信を省略することができる。,通信の設定が行われた後の交信で混同あるいは誤解のおそれがないときは、「ROGER」、「OVER」の用語の送信を省略することができる。,一回の交信が終了し通信が継続されている場合において、再度同一管制機関を同一周波数で呼び出す場合でも、通信の設定を行わなければならない。,送信は原則として標準的な通信の用語を使用し、用語以外の通常会話で送信する場合も簡潔に行うことが肝要である。,,3,201703,航空通信,12,,
オプションアプローチの許可について誤りはどれか。,「CLEARED OPTION」の用語が用いられる。,「ストップアンドゴー」は含まれる。,「着陸」は含まれる。,「ローアプローチ」は含まれない。,,4,201703,航空通信,13,,
送信にあたっての留意すべき点で誤りはどれか。,送信速度は、1分間に100語を超えない平均した速度を標準とする。,送信の音量は一定に維持する。,口とマイクロフォンの間の距離を一定に維持する。,航空機局は航空局に対する呼出しを行っても応答がないときは、5秒以内に再び呼び出しを行う。,,4,201703,航空通信,14,,
生存者の使用する対空目視信号の記号で「X」の意味する通報はどれか。,援助を要する。,否定,医療援助を要する。,この方向に前進中,,3,201703,航空通信,15,,
飛行援助センター(FSC)について誤りはどれか。,FSCの業務には、飛行場リモート対空援助業務がある。,FSCは新千歳、仙台、東京、中部、大阪、福岡、鹿児島および那覇の各空港事務所に設置されている。,飛行援助用航空局はFSCの1つである。,FSCの業務には、広域対空援助業務がある。,,3,201703,航空通信,16,,
管制用語と意味の組み合わせで誤りはどれか。,squawk standby  :  トランスポンダをスタンバイ位置にして下さい。,request flight conditions  :  飛行中の気象状態を通報して下さい。,transmitting in the blind  : 一方送信を行います。,confirm  :  その通りです。,,4,201703,航空通信,17,,
遭難通信が行われていることを知った無線局が当該周波数で送信できる場合で、誤りはどれか。,遭難通信が取り消された場合。,遭難の事実が明確な場合。,一連の遭難通信が終了した場合。,遭難通信を宰領する局が承認した場合。,,2,201703,航空通信,18,,
無線電話が故障した状況で着陸する場合の操作要領で、誤りはどれか。,トランスポンダーを7600にセットして一方送信をしながら飛行場に近づいたところ管制塔から白色の閃光が発せられたので、主翼を振ってダウンウィンドに進入し着陸した。,ダウンウィンドを飛行していると緑色の不動光が管制塔から発せられたので着陸できると判断した。,着陸滑走で十分に減速し管制塔を見ると白色の閃光を確認したので滑走路を解放しエプロンに向かった。,エプロンに向かう地上滑走中、管制塔から緑色と赤色の交互閃光が発せられているのに気づいたので、補助翼を動かし着陸灯を点滅させた。鳥の群れが左から誘導路に入って来るのが確認できた。,,1,201703,航空通信,19,,
「警戒の段階」について正しいものはどれか。,拡大通信捜索開始後1時間を経ても当該航空機の情報が明らかでない場合「警戒の段階」について正しいものはどれか。に発動される。,航空機の航行性能が悪化したが不時着のおそれがある程でない旨の連絡があった場合に発動される。,位置通報が予定時刻から30分過ぎてもない場合に発動される。,航空機がその予定時刻から30分(ジェット機にあっては15分)過ぎても目的地に到着しない場合に発動される。,,2,201703,航空通信,20,,
対流圏における大気について正しいものはどれか。,対流圏内の上層は太陽に近いため下層より気温が高い。,対流圏内では高度が上がると気圧も上昇する(大きい値になる)。,対流圏内では高度が上がると空気密度も上昇する(大きい値になる)。,対流圏内に存在する水蒸気は雲や雨など天気に密接な関係がある。,,4,201703,航空気象,1,,
国際標準大気の気象諸元で誤りはどれか。,完全な乾燥気体である。,平均海面高度での気圧は1013.250hPaである。,平均海面高度での気温は15°Cである。,気温の上昇率は、0~11km上空までは6.5°C/kmである。,,4,201703,航空気象,2,,
航空機に使用される温度計の目盛について正しいものはどれか。,温度目盛には摂氏(Celsius)と華氏(Fahrenheit)がある。,華氏(Fahrenheit)の目盛の基準は水の氷点(0°C)と沸点(100°C)であり、その差100を目盛幅として利用している。,摂氏(Celsius)の目盛の基準は水の氷点(32゚F)と沸点(212゚F)であり、その差180を目盛幅として利用している。,0°Cは-40゚Fである。,,1,201703,航空気象,3,,
気温の日変化について正しいものはどれか。,14時頃が最高となり、日出頃が最低となる。,日変化の幅は季節の変化には影響を受けない。,最低最高温度の差は、岩石や裸地の地面近くよりも水深の深い水面上の方が大きい。,最低最高温度の差は、上空では次第に大きくなる。,,1,201703,航空気象,4,,
ある乾燥した気塊を機械的に上昇させたとき、周囲の空気より温度が低くなった。この大気の安定、不安定について正しいものはどれか。,この大気は安定といえる。,この大気は不安定といえる。,この大気は条件付き不安定といえる。,これだけでは何ともいえない。,,1,201703,航空気象,5,,
10種雲形の雲のうち、乱層雲の説明で正しいものはどれか。,ハケで掃いたような雲である。,上部はかなとこ状に広がっていることが多い。,ウロコ状の上層雲である。,中層雲として発達するのが普通だが、下層及び上層に及ぶものも多い。,,4,201703,航空気象,6,,
霧が発生しやすい一般的な条件で誤りはどれか。,風速は弱いが静穏でないこと,地表面が冷たいこと,気団の型は、下層で湿度の高いこと,気温と露点温度が離れていること,,4,201703,航空気象,7,,
風は地球の表面に対する空気の動きであり、この空気を動かす力として正しいものはどれか。,表面張力,気圧傾度力,風力,弾性力,,2,201703,航空気象,8,,
北半球の高気圧の風の吹き方で正しいものはどれか。,時計回りに吹き込む。,反時計回りに吹き込む。,時計回りに吹き出す。,反時計回りに吹き出す。,,3,201703,航空気象,9,,
暖気団の特性について誤りはどれか。,気流は滑らかである。,安定度は不安定な気温減率である。,視程は悪い。,雲形は層状雲系である。,,2,201703,航空気象,10,,
前線のもつ一般的性質について誤りはどれか。,前線は気圧の低い谷の中に存在することが多い。,移動している前線は、前線を境にして気圧の変化傾向が違う。,前線を境にして気温差がある。,前線の速度は暖気内の風速とほぼ一致する。,,4,201703,航空気象,11,,
低気圧についての説明で誤りはどれか。,気圧が周囲より低く、等圧線が丸くまとまっている区域を低気圧という。,低気圧の発達とは、中心示度が深くなり、気圧傾度が大きくなって、その範囲も広くなることをいう。,風は低気圧の中心に向って北半球では反時計回りに吹きこむ。,低気圧の中心では下降気流が生じるので、雲ができ一般的に低気圧域内では天気が悪い。,,4,201703,航空気象,12,,
温暖型移動性高気圧について誤りはどれか。,すぐ天気が悪くなる。,一般的に春・秋頃に多く現れる。,背が高い。,移動速度が遅い。,,1,201703,航空気象,13,,
山岳波の中の乱気流が最も激しいところはどれか。,"山頂高度の上5,000ft以上の高度",山頂風上側の10km周辺,山頂高度の風下側のロール雲周辺,山頂のキャップ雲周辺,,3,201703,航空気象,14,,
雷雲に伴う気象現象について誤りはどれか。,雷雲の接近に伴い風向、風速の急変が起こる。(初期突風),ひょうが降る。,地霧の発生,初期突風としゅう雨の襲来によって気圧が急激に上昇する。,,3,201703,航空気象,15,,
10 ktの風速はおおよそ毎秒何メートルか。, 5 m/s,10 m/s,20 m/s,40 m/s,,1,201703,航空気象,16,,
地上天気図において、低気圧を示す記号で正しいものはどれか。, H, L,TD,TS,,2,201703,航空気象,17,,
右の地上天気図における解析時刻で正しいものはどれか。ただし日本の日時とする。,12日21時00分,12日12時00分,12日09時00分,12日03時00分,,1,201703,航空気象,18,,true
地上天気図に使用される海上警報「TW」で正しいものはどれか。,一般警報,強風警報,暴風警報,台風警報,,4,201703,航空気象,19,,
850hPa天気図の説明で誤りはどれか。,対流圏の中間層にあたり、大気の流れを知るために最適である。,この高さの湿った暖気移流は雨の予報に利用される。,山岳地帯を除けば気象要素は下層大気の代表的な値を示す。,前線系の解析に最適である。,,1,201703,航空気象,20,,
アンチスキッド制御装置の機能で誤りはどれか。,通常のアンチスキッド制御,ロックしたホイールのスキッド制御,非常ブレーキ制御,接地保護,,3,201703,構造,1,,
与圧された操縦室の風防(ウィンドシールド)を加熱する目的で誤りはどれか。,内側の曇り止め,外側の着氷防止,操縦室の暖房,衝撃吸収能力の増加,,3,201703,構造,2,,
ウイングレット(Winglet)の説明で誤りはどれか。,燃料消費量を改善させる。,主翼端に立てられた小翼である。,翼端での吹き上げを抑える。,大型機にのみ装備されている。,,4,201703,構造,3,,
フライ・バイ・ワイヤ操縦装置の説明で誤りはどれか。,操縦索や滑車等の機械部品に替えて、電線を流れる電気信号により舵面作動機を制御するものである。,重量軽減化が計られる。,性能、経済性の向上に貢献できる。,整備作業の増加につながる。,,4,201703,構造,4,,
飛行機の翼型の特徴について誤りはどれか。,矩形翼は工作が容易で翼端失速の傾向が小さい。,後退翼は横安定及び方向安定がよいが翼端失速を起こしやすい。,楕円翼は翼端部の揚力が小さくなるので、構造的に有利である。,先細翼は重量を減らすことができ、翼端失速も起こしにくい。,,4,201703,構造,5,,
高揚力装置について誤りはどれか。,人力と機械的リンクで作動させるものもある。,クルーガ・フラップは、前縁フラップの一種である。,非対称状態になると危険なため、これを防ぐ工夫がなされている。,リーディング・エッジ・フラップは、単独で使用される。,,4,201703,構造,6,,
車輪のシミーの説明について正しいものはどれか。,車輪の上下方向の振動のことである。,車輪の首振り振動のことである。,着陸接地時の衝撃のことである。,タイヤの破裂(バースト)のことである。,,2,201703,構造,7,,
チタニウム合金の一般的性質について誤りはどれか。,非磁性体で、磁石はくっつかない。,比強度が大きい。,耐熱性は一般的なアルミ合金より良好である。,耐食性は一般的なアルミ合金より劣る。,,4,201703,構造,8,,
フラッタの説明(a)~(d)のうち、正しいものはいくつあるか。(1)~(5)の中から選べ。,1,2,3,4,なし,3,201703,構造,9,(a)フラッタは構造が原因で発生し、空気からエネルギーを与えられて次第に 激しくなってくる自励振動である。(b)フラッタの発生を防ぐには翼構造を頑丈にしてねじれや曲げの強度を高める。 (c)舵面に発生するフラッタを防止するためにマスバランスを取り付ける。 (d)フラッタが発生した場合、発生した速度を保持することにより減衰する。,
主翼にかかる荷重の説明(a)~(d)のうち、正しいものはいくつあるか。(1)~(5)の中から選べ。,1,2,3,4,なし,4,201703,構造,10,(a)主翼には揚力と重力が作用してせん断力と曲げモーメント及びねじりモーメントが 生じる。(b)主翼の曲げモーメントは付け根で最大となる。 (c)翼端に働くせん断力はゼロである。 (d)支柱付きの翼は曲げモーメントが小さい。,
航空法第2条(定義)で定める「航空機」について誤りはどれか。,人が乗って航空の用に供することができる飛行機,人が乗って航空の用に供することができる回転翼航空機,人が乗って航空の用に供することができる滑空機,人が乗って航空の用に供することができる熱気球,,4,201703,航空法規等,1,,
航空法第2条(定義)で誤りはどれか。,「航空交通情報区」とは、航空交通管制区が設定された空域以外の空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制区」とは、地表又は水面から200m以上の高さの空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制圏」とは、航空機の離陸及び着陸が頻繁に実施される国土交通大 臣が告示で指定する空港等並びにその付近の上空の空域であつて、空港等及びそ の上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通情報圏」とは、航空交通管制圏が設定された空港等以外の国土交通大臣が告示で指定する空港等及びその付近の上空の空域であつて、空港等及びその上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,,1,201703,航空法規等,2,,
有視界気象状態の条件で正しいものはどれか。,"3,000m以上の高度で飛行する場合の飛行視程は、5,000m以上であること。","3,000m未満の高度で管制区、管制圏又は情報圏を飛行する場合の飛行視程は、8,000m以上であること。","3,000m未満の高度で管制区、管制圏及び情報圏以外を飛行する場合の飛行視程は、1,500m以上であること。","管制圏又は情報圏内にある空港等において、離陸し、又は着陸しようとする場合の地上視程は、3,000m以上であること。",,3,201703,航空法規等,3,,
操縦士に係る技能証明の限定に関する記述で正しいものはどれか。,実地試験に使用される航空機によって、操縦できる航空機の種類、等級が限定される。,操縦士の技能証明があれば、航空機の種類は問わず機長として操縦ができる。,技能証明の限定事項が多発機であれば、単発機の機長としても操縦ができる。,技能証明の限定事項が水上機であれば、陸上機の機長としても操縦ができる。,,1,201703,航空法規等,4,,
航空法第28条(業務範囲)で定める自家用操縦士の業務範囲で正しいものはどれか。,航空運送事業の用に供する航空機の操縦を行うこと。,航空機使用事業の用に供する航空機の操縦を行うこと。,報酬を受けないで、無償の運航を行う航空機の操縦を行うこと。,報酬を受けて、無償の運航を行う航空機の操縦を行うこと。,,3,201703,航空法規等,5,,
技能証明等の取り消しの適用について誤りはどれか。,航空法に違反したとき。,航空法に基づく処分に違反したとき。,航空従事者としての職務を行うに当り、非行又は重大な過失があったとき。,操縦練習許可書で飛行する者には取り消しの適用はされない。,,4,201703,航空法規等,6,,
航空法施行規則第61条の2(身体検査基準及び航空身体検査証明書)に定める自家用操縦士の身体検査基準について正しいものはどれか。,第1種身体検査基準,第2種身体検査基準,第3種身体検査基準,身体検査基準については定められていない。,,2,201703,航空法規等,7,,
航空法第58条(航空日誌)に関して国土交通省令で定める搭載用航空日誌に記載すべき事項のうち航行に関する記録で誤りはどれか。,航行目的又は便名,所有者の氏名及び業務,出発地及び出発時刻,航行時間,,2,201703,航空法規等,8,,
航空法第59条で定める「その他国土交通省令で定める航空の安全のために必要な書類」について誤りはどれか。,トレーニング・マニュアル,運用限界等指定書,飛行規程,飛行の区間、飛行の方式その他飛行の特性に応じて適切な航空図,,1,201703,航空法規等,9,,
航空機に装備する救急用具の点検期間で誤りはどれか。,非常信号灯、携帯灯及び防水携帯灯        : 60日,救命胴衣、これに相当する救急用具及び救命ボート : 90日,救急箱                     : 60日,非常食糧                    : 180日,,2,201703,航空法規等,10,,
航空法第70条(酒精飲料等)による、酒精飲料又は麻酔剤その他の薬品を服用した後の航空業務の制限で正しいものはどれか。,正常な運航ができないおそれがある間は、航空業務を行ってはならない。,酒精飲料等を飲んだ直後であっても、歩行困難や言語不明瞭でなければ航空業務を行ってもよい。,呼気中アルコール濃度0.15mg/l以上の間は航空業務を行ってはならない。,酒精飲料等を飲んだ後、12時間は航空業務を行ってはならない。,,1,201703,航空法規等,11,,
航空法第71条の2(操縦者の見張り義務)で正しいものはどれか。,国土交通大臣の指示に従っている航行の場合は見張りの義務はない。,雲が多いところを飛行中は見張りの義務はない。,夜間飛行中は見張りの義務はない。,当該航空機外の物件を視認できない気象状態の下にある場合を除き、他の航空機その他の物件と衝突しないように見張りをしなければならない。,,4,201703,航空法規等,12,,
特定操縦技能の審査等に関する説明で誤りはどれか。,特定操縦技能の審査とは、航空機の操縦に従事するのに必要な知識及び能力であってその維持について確認することが特に必要であるものを有しているかどうかについて操縦技能審査員が行う審査である。,この審査に合格していなくても、機長として航空機の操縦に従事することができる。,この審査に合格し操縦を行うことができる期間は、国土交通大臣が許可した場合を除き2年である。,この審査のうち実技審査は、模擬飛行装置又は飛行訓練装置を使用して行うことができる。,,2,201703,航空法規等,13,,
航空法第75条で定める、機長が、航空機の航行中、その航空機に急迫した危難が生じた場合にとらなければならない措置で正しいものはどれか。,国土交通省令で定めるところにより、国土交通大臣にその旨を報告しなければならない。,最寄の航空交通管制機関に連絡しなければならない。,国土交通大臣が航空交通の安全を考慮して与える指示に従つて航行しなければならない。,旅客の救助及び地上又は水上の人又は物件に対する危難の防止に必要な手段を尽くさなければならない。,,4,201703,航空法規等,14,,
航空法第76条(報告の義務)に基づき、機長が国土交通省令で定めるところにより国土交通大臣にその旨を報告しなければならない内容で誤りはどれか。,航空機の墜落、衝突又は火災,航空機による人の死傷又は物件の損壊,航空機内に持ち込んだ動物の死,他の航空機との接触,,3,201703,航空法規等,15,,
高度900m以下の航空交通管制圏をピストン発動機を装備する航空機で航行するときの速度の制限で正しいものはどれか。ただし国土交通大臣の許可を受けた場合を除く。,指示対気速度140kt,指示対気速度150kt,指示対気速度160kt,指示対気速度170kt,,3,201703,航空法規等,16,,
進路権に関する記述で誤りはどれか。,正面又はこれに近い角度で接近する飛行中の同順位の航空機相互間にあつては、互に進路を右に変えなければならない。,飛行中の同順位の航空機相互間にあつては、他の航空機を左側に見る航空機が進路を譲らなければならない。,前方に飛行中の航空機を他の航空機が追い越そうとする場合(上昇又は降下による追越を含む。)には、後者は、前者の右側を通過しなければならない。,進路権を有する航空機は、その進路及び速度を維持しなければならない。,,2,201703,航空法規等,17,,
航空機が空港等内において地上を移動する場合の基準で誤りはどれか。,人力により移動させてはならない。,前方を十分に監視すること。,動力装置を制御すること又は制動装置を軽度に使用することにより、速かに且つ安全に停止することができる速度であること。,航空機その他の物件と衝突のおそれのある場合は、地上誘導員を配置すること。,,1,201703,航空法規等,18,,
航空法第83条(衝突予防等)のうち、空港等付近の航行方法に関する記述で誤りはどれか。,他の航空機に続いて離陸しようとする場合には、その航空機が離陸して着陸帯の末端を通過する前に、離陸のための滑走を始めないこと。,他の航空機に続いて離陸しようとする場合には、その航空機が離陸して着陸帯の末端を通過する前に、離陸のための滑走を始めないこと。,離陸する他の航空機に続いて着陸しようとする場合には、その航空機が離陸のための滑走を始める前に、着陸のために当該空港等の区域内に進入しないこと。,着陸する他の航空機に続いて離陸しようとする場合には、その航空機が着陸して着陸帯の外に出る前に、離陸のための滑走を始めないこと。,,3,201703,航空法規等,19,,
航空法施行規則第203条第1項に定める有視界飛行方式に係る飛行計画により明らかにしなければならない事項で正しいものはどれか。,航空機の名称、等級,巡航高度における真対気速度,最初の着陸地及び離陸した後当該着陸地に着陸するまでの所要時間,ガロンで表された燃料搭載量,,2,201703,航空法規等,20,,
道路・鉄道・河川等の地上目標を利用して目的地まで飛行する航法として正しいものはどれか。,天文航法,地文航法,無線航法,推測航法,,2,201703,空中航法,1,,
真針路について正しいものはどれか。,航空機が飛行した航跡と、その航空機の位置を通る子午線とのなす角をいう。,羅針路に偏差を加えたものをいう。,航空機の機首の向いている方向で、磁北からの角度である。,子午線と航空機の機首尾線のなす角を真方位で表したものである。,,4,201703,空中航法,2,,
縮尺50万分の1の航空図において10cmの距離は実際には何nmにあたるか。,約10 nm,約21 nm,約27 nm,約33 nm,,3,201703,空中航法,3,,
真航路035°のA点からB点に向けてWCAを-3°とって飛行したところ、真航跡が030°となった。この時のDA(Drift Angle)で正しいものはどれか。,2°L,2°R,5°L,5°R,,1,201703,空中航法,4,,
次の換算値で誤りはどれか。,"1(海)マイルは約6,076 フィートである。",1キログラムは約2.2 ポンドである。,1(米)ガロンは約0.25 リットルである。,1キロメートルは約0.54(海)マイルである。,,3,201703,空中航法,5,,
次の燃料消費量のうち最も少ないものはどれか。,単位時間あたりの燃料消費が15 gal/h のときの45分間の燃料消費量,単位時間あたりの燃料消費が27 gal/h のときの20分間の燃料消費量,単位時間あたりの燃料消費が10 gal/h のときの50分間の燃料消費量,単位時間あたりの燃料消費が18 gal/h のときの25分間の燃料消費量,,4,201703,空中航法,6,,
平均太陽が経度30度を移動するのに要する時間で正しいものはどれか。, 30分,60分, 90分, 120 分,,4,201703,空中航法,7,,
計器高度と真高度に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。,誤 誤,誤 正,正 誤,正 正,,1,201703,空中航法,8,(a)QNHセッティング一定で巡航中に気温の高い空域に入ると真高度は低くなる。 (b)QNHセッティング一定で巡航中に気圧の低い空域に入ると真高度は高くなる。,
A点からB点に向けて飛行中、B点で右に1 nm偏位していた。AB間の距離を20 nmとするとコースからの偏位角に最も近いものはどれか。,2度,3度,4度,6度,,2,201703,空中航法,9,,
偏差について正しいものはどれか。,同じ緯度ならどこでも同じ偏差である。,同じ経度ならどこでも同じ偏差である。,日本付近では偏差はおおよそ7°Eである。,偏差は経年により変化する場合がある。,,4,201703,空中航法,10,,
ランバート航空図について誤りはどれか。,正角である。,子午線は直線である。,距離誤差が大きく、長距離航法には適さない。,航程線は赤道に引きつけられる曲線になるが、大圏が直線に近く表される。,,3,201703,空中航法,11,,
次の図面記号(a)、(b)の意味について、その組み合わせとして正しいものはどれか。,特別管制区　義務位置通報点,特別管制区　非義務位置通報点,飛行制限区域　義務位置通報点,飛行制限区域　非義務位置通報点,,4,201703,空中航法,12,true,
磁針路270度で飛行中、C駅が10時半の方角に見えた。このときの自機の位置として正しいものはどれか。,C駅の北西,C駅の西,C駅の北東,C駅の東,,3,201703,空中航法,13,,
"対地高度9,000 ftを飛行中、チェックポイントを「真横右下45度」に発見した。このときの機体からチェックポイントまでの水平距離で正しいものはどれか。",約0.5 nm,約1.0 nm,約1.5 nm,約2.0 nm,,3,201703,空中航法,14,,
VORのラジアルの説明で正しいものはどれか。,VOR局への磁方位である。,VOR局からの磁方位である。,VOR局からの真方位である。,VOR局への真方位である。,,2,201703,空中航法,15,,
空中衝突に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,3,201703,空中航法,16,(a)両機が直線飛行を行っており、相手機が衝突コース上にあるときは、自機の針路を 変えるだけで衝突を回避することができる。(b)相手機が衝突コース上にあるときは、相手機を発見しやすい。,
空間識失調について誤りはどれか。,夜間や悪天候、また平坦で構造物のない場所を飛行する場合には、手掛かりが少なく漠然とした誤った視覚的情報により飛行するため空間識失調に陥る危険性が大きい。,夜間、悪天候さらに雲中など計器気象状態で正確な視覚手掛かりがない場合は、前庭器官からの情報が優勢となり誤った空間識情報が入りやすい。,疲労と空間識失調は関連性はない。,飛行中の錯覚に基づく空間識失調は、信頼できる地上の固定物標または飛行計器を確実に視認することによってのみ防止することができる。,,3,201703,空中航法,17,,
視覚と明暗に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201703,空中航法,18,(a)暗闇では視覚は明るさに対して鋭敏となる。これを暗順応性という。 (b)暗順応を得るためには真暗闇の中では少なくとも30分を要する。,
スキューバダイビング後の潜函病(減圧病)に関する記述(a)~(c)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤 誤,誤 誤 正,誤 正 正,正 正 正,,2,201703,空中航法,19,"スキューバによる潜水を行った後で飛行しようとする場合、(a)8,000 ftまでの高度(または与圧室高度)による飛行を予定する前に必要とされる地上待機の時間は、減圧浮上(コントロールされた浮上)を必要としない潜水の後では少なくとも1~2時間とされている。(b)8,000 ftまでの高度(または与圧室高度)による飛行を予定する前に必要とされる地上待機の時間は、減圧浮上(コントロールされた浮上)を必要とする潜水の後では少なくとも12時間とされている。(c)8,000 ftを超える高度(または与圧室高度)による飛行を予定する前に必要とされる地上待機の時間は、減圧浮上(コントロールされた浮上)が必要である とないとにかかわらず、少なくとも24時間とされている。",
TEM(スレット・アンド・エラー・マネージメント)に関する記述(a)、(b) について、その正誤の組み合わせとして正しいものはどれか。 (1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,3,201703,空中航法,20,(a)スレットとは、乗員が関与しないところで発生し、運航をさらに複雑にし、 安全マージンを維持するために、乗員に注意や対処を要求するもの。 (b)スレットには機器の故障、複雑な地形などがあるが、悪天候は含まれない。,
